C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:13:31

spstring~'A' & nbref>=50
------------------------

Number of objects : 2484

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
669 |* bet Ori                          |s*b|05 14 32.27210 -08 12 05.8981          |-0.56 | 0.10 | 0.13 | 0.13 | 0.15 |B8Iae                 | 730|   0
670 |HD 34557                           |** |05 20 14.6683057563 +41 05 10.560433264|     ~| 5.568| 5.456|     ~|     ~|A3V                   |  50|   0
671 |* 19 Aur                           |V* |05 20 00.9209208554 +33 57 29.004899719| 5.72 | 5.30 | 5.03 |     ~|     ~|A5II+                 |  97|   0
672 |V* IQ Aur                          |a2*|05 19 00.0284977265 +33 44 54.237390018|     ~| 5.201| 5.371|     ~|     ~|A0p                   | 270|   0
673 |* 14 Aur C                         |XB*|05 15 23.5994864232 +32 41 05.235770037|     ~| 8.25 | 7.88 |     ~|     ~|F2V+DA1.3             |  72|   2
674 |* 14 Aur                           |dS*|05 15 24.3939839964 +32 41 15.363849904|     ~| 5.217| 5.000| 6.45 |     ~|A9V                   | 187|   0
675 |GD 66                              |WD*|05 20 38.3165475543 +30 48 23.923341864|     ~|15.78 |15.56 |     ~|     ~|DA4.1                 |  68|   1
676 |HD 34790                           |SB*|05 21 12.6877118970 +29 34 11.595843916| 5.760| 5.710| 5.670|     ~|     ~|A1Vs                  |  53|   0
677 |HD 35187                           |Y*O|05 24 01.17261 +24 57 37.5791          |     ~| 8.79 | 8.71 | 8.72 |     ~|A2e+A7                |  95|   0
678 |V* CD Tau                          |Al*|05 17 31.1528698885 +20 07 54.627827550| 7.27 | 7.25 | 6.76 |     ~|     ~|A5:IapHIwk:           | 154|   0
679 |V* V1159 Tau                       |a2*|05 20 18.2956470234 +19 34 41.616269262| 6.290| 6.650| 6.680|     ~|     ~|A0p                   |  53|   0
680 |* 18 Ori                           |*  |05 16 04.1347256778 +11 20 28.878981087|     ~| 5.500| 5.515|     ~|     ~|A0V                   |  53|   0
681 |HD 34317                           |*  |05 16 41.0392756548 +01 56 50.380674095|     ~| 6.402| 6.408|     ~|     ~|A0V                   |  64|   0
682 |HD 287841                          |Y*O|05 24 42.8031051407 +01 43 48.249517233|10.55 |10.45 |10.17 | 9.99 | 9.80 |A8V                   |  87|   0
683 |* p Ori                            |SB*|05 24 28.9011575723 -00 53 28.877812346|     ~| 6.032| 5.072|     ~|     ~|G9III-IVBa0.5         |  98|   0
684 |V* RY Col                          |RR*|05 15 07.7819726866 -41 37 41.674762068|     ~|10.59 |10.45 |     ~|     ~|A7                    |  72|   0
685 |HD 36112                           |Ae*|05 30 27.5286772598 +25 19 57.082162439|     ~| 8.57 | 8.27 |     ~|     ~|A8Ve                  | 363|   0
686 |* 119 Tau                          |s*r|05 32 12.7525072 +18 35 39.243589      | 8.63 | 6.41 | 4.33 | 2.55 | 1.13 |M2Iab-Ib              | 260|   0
687 |SN 1999ek                          |SN*|05 36 31.60 +16 38 17.8                |     ~|17.97 |     ~|     ~|     ~|SNIa                  |  53|   1
688 |V* HK Ori                          |Ae*|05 31 28.0451235474 +12 09 10.149849783|11.82 |12.06 |11.10 |11.02 |10.56 |A2?e+G0?e             | 176|   1
689 |HD 244604                          |Or*|05 31 57.2512002483 +11 17 41.374206174|     ~| 9.61 | 9.43 |     ~|     ~|A0Vesh                |  58|   0
690 |HD 245185                          |Ae*|05 35 09.6040600795 +10 01 51.465846371|10.05 |10.07 | 9.93 |     ~|     ~|A0Vae                 | 105|   0
691 |* 38 Ori                           |** |05 34 16.7752565133 +03 46 00.874163851|     ~| 5.383| 5.326|     ~| 5.25 |A1V                   |  57|   0
692 |V* V1093 Ori                       |a2*|05 30 45.2251381983 -00 22 24.085245672|     ~| 8.15 | 8.21 |     ~|     ~|ApSi                  |  63|   0
693 |* eps Ori                          |s*b|05 36 12.81335 -01 12 06.9089          | 0.48 | 1.51 | 1.69 | 1.76 | 1.93 |B0Ia                  | 859|   0
694 |* 45 Ori                           |*  |05 35 39.4842625056 -04 51 21.838582189|     ~| 5.483| 5.234|     ~|     ~|A9IV/V                |  62|   0
695 |HD 36899                           |Y*O|05 34 42.2804805134 -05 07 14.578790867|     ~| 9.76 | 9.8  |     ~|11.917|A0V                   |  50|   0
696 |V* MR Ori                          |Or*|05 35 16.9782526518 -05 21 45.336791295|11.386|10.876|10.578|     ~| 9.836|A2:Vv                 |  52|   0
697 |V* KO Ori                          |Or*|05 34 56.4815050995 -05 31 36.158483542|16.260|14.726|13.683|12.84 |11.597|A7                    |  53|   0
698 |V* KS Ori                          |Or*|05 35 00.1295222186 -05 25 16.216174086|     ~|10.34 |10.19 |     ~|     ~|A0V                   |  59|   0
699 |V* V2056 Ori                       |Or*|05 34 49.9812475960 -05 18 44.649275275|12.583|11.496|10.928|     ~| 9.616|A3:                   |  63|   0
700 |V* T Ori                           |Ae*|05 35 50.4483740019 -05 28 34.923375739|12.724|11.637|11.248|10.09 |10.043|A3IVeb                | 229|   0
701 |HD 36412                           |Ae*|05 31 18.4059988767 -05 42 13.541832108|     ~|10.21 | 9.49 |     ~|     ~|kA7hF1VmF3            |  69|   1
702 |HD 37258                           |Ae*|05 36 59.2489032761 -06 09 16.317559872|     ~| 9.72 | 9.61 | 9.56 |     ~|A3Ve                  | 114|   0
703 |* iot Ori                          |SB*|05 35 25.9819073 -05 54 35.643537      | 1.45 | 2.53 | 2.77 |     ~|     ~|O9IIIvar              | 732|   0
704 |BD-06 1253                         |Ae*|05 36 25.4313245626 -06 42 57.684449700|     ~|11.65 |10.9  |10.29 |     ~|A1e                   | 407|   1
705 |V* BF Ori                          |Ae*|05 37 13.2623698298 -06 35 00.565420577|10.37 |10.00 | 9.69 |10.06 | 9.31 |A7III                 | 270|   0
706 |* bet Lep                          |** |05 28 14.7231588 -20 45 33.987791      | 4.13 | 3.66 | 2.84 | 2.19 | 1.75 |G5II-IIIa:            | 228|   0
707 |HD 37286                           |*  |05 36 10.2953673127 -28 42 28.848002162|     ~| 6.409| 6.256|     ~| 6.10 |A2III/IV              |  53|   0
708 |HD 36060                           |PM*|05 27 05.3128833151 -40 56 36.592459894|     ~| 6.090| 5.847|     ~|     ~|A5mA5-F2              |  50|   0
709 |V* ZZ Aur                          |bL*|05 45 42.1567449831 +41 08 59.227792035|     ~|11.49 |11.04 |     ~|     ~|A7                    |  59|   0
710 |V* NO Aur                          |s*r|05 40 42.0501780592 +31 55 14.202295199|10.52 | 8.30 | 6.21 | 4.43 | 3.02 |M2Iab                 | 136|   1
711 |* 26 Aur                           |** |05 38 38.0850966 +30 29 32.705388      |     ~| 5.846| 5.406| 6.77 |     ~|A2.5V+F6III           | 101|   0
712 |V* RR Tau                          |Ae*|05 39 30.5114685049 +26 22 26.961204895|11.64 |12.09 |11.28 |10.58 |10.17 |A0:IVe                | 216|   0
713 |* 131 Tau                          |** |05 47 13.1536316 +14 29 17.967416      |     ~| 5.785| 5.721|     ~|     ~|A3Vn                  |  97|   0
714 |* 52 Ori                           |** |05 48 00.2333338778 +06 27 14.958745067|     ~|     ~|     ~| 6.56 |     ~|A5V                   |  69|   0
715 |V* V351 Ori                        |Ae*|05 44 18.7949420603 +00 08 40.411665342| 9.44 | 9.22 | 8.87 |     ~|     ~|A7V                   |  99|   0
716 |V* GG Ori                          |Al*|05 43 10.2225202776 -00 41 14.794297965|     ~|10.92 |     ~|     ~|     ~|A2                    |  67|   0
717 |* zet Ori A                        |** |05 40 45.527143 -01 56 33.26036        |     ~| 1.79 | 1.90 |     ~|     ~|O9.2IbvarNwk          | 645|   0
718 |HD 37594                           |*  |05 39 31.1505275696 -03 33 52.928620584|     ~| 6.260| 5.974|     ~|     ~|A9V                   |  72|   0
719 |V* V1148 Ori                       |a2*|05 39 55.4231557269 -03 19 49.813360043|     ~| 7.93 | 8.04 |     ~|     ~|ApSrEu                |  75|   0
720 |HD 37411                           |Or*|05 38 14.5075249942 -05 25 13.317577897|10.03 | 9.91 | 9.79 | 9.60 | 9.45 |hA3VakA0mA0(eb)_lB    |  83|   0
721 |HD 37357                           |Ae*|05 37 47.0795535305 -06 42 30.203876953|     ~| 8.96 | 8.85 |     ~|     ~|A1V                   |  96|   0
722 |Parenago 2649                      |Ae*|05 38 09.3040922103 -06 49 16.597267355|     ~|15.37 |13.75 |12.85 |     ~|A5e                   |  51|   0
723 |* d Ori                            |SB*|05 38 53.0833241719 -07 12 46.166724645| 5.04 | 4.93 | 4.80 | 4.65 | 4.59 |A4Vn                  | 127|   1
724 |V* V350 Ori                        |Y*O|05 40 11.7641189614 -09 42 11.085315699|12.74 |12.08 |11.42 |11.38 |10.96 |A7V                   |  66|   0
725 |HD 38735                           |Al*|05 47 26.8899569020 -10 31 58.608868246|     ~| 6.18 | 6.06 |     ~|     ~|A2IV                  | 106|   0
726 |* kap Ori                          |s*b|05 47 45.3888404 -09 40 10.577707      | 0.87 | 1.88 | 2.06 | 2.09 | 2.27 |B0.5Ia                | 548|   0
727 |* zet Lep                          |*  |05 46 57.3409587 -14 49 19.019943      |     ~| 3.637| 3.525|     ~|     ~|A2IV-V(n)             | 281|   0
728 |HD 38206                           |*  |05 43 21.6709387268 -18 33 26.906533478|     ~| 5.711| 5.727|     ~| 5.72 |A0V                   |  95|   0
729 |V* RY Lep                          |dS*|05 48 10.2617974702 -20 01 24.925632678|     ~| 8.60 | 8.25 |     ~|     ~|A9V                   |  54|   0
730 |* bet Aur                          |Al*|05 59 31.7229284 +44 56 50.757259      | 1.97 | 1.93 | 1.90 | 1.82 | 1.83 |A1IV-Vp               | 402|   0
731 |* tet Aur                          |a2*|05 59 43.27012 +37 12 45.3047          | 2.36 | 2.54 | 2.62 | 2.62 | 2.68 |A0VpSi                | 264|   0
732 |* 136 Tau                          |SB*|05 53 19.6460573 +27 36 44.137837      |     ~| 4.539| 4.552|     ~|     ~|A0V                   |  76|   0
733 |HD 39970                           |V* |05 56 56.1183878566 +24 14 58.882189480| 6.2  | 6.367| 6.029|     ~|     ~|A0Ib                  |  83|   0
734 |* 137 Tau                          |a2*|05 52 22.2917912614 +14 10 18.430746679|     ~| 5.532| 5.586|     ~|     ~|A0VpSiSrCr            |  93|   0
735 |GD 71                              |WD*|05 52 27.6197286025 +15 53 13.228639956|11.675|12.783|13.032|13.169|13.337|DA1.5                 | 336|   0
736 |HD 39680                           |Be*|05 54 44.7314236108 +13 51 17.068152340| 7.05 | 8.01 | 7.99 |     ~|     ~|O6V:[n]pevar          | 113|   0
737 |HD 40369                           |*  |05 58 53.23652 +12 48 29.7476          |     ~| 6.626| 5.750|     ~|     ~|G8III:+A5V            |  57|   1
738 |* alf Ori                          |s*r|05 55 10.30536 +07 24 25.4304          | 4.38 | 2.27 | 0.42 |-1.17 |-2.45 |M1-M2Ia-Iab           |1488|   0
739 |EGGR 290                           |WD*|05 56 25.462536 +05 21 48.29724        |     ~|14.77 |14.13 |14.00 |     ~|DA8P                  | 141|   0
740 |GD 257                             |WD*|05 50 37.5195814635 +00 05 52.619647637|     ~|14.80 |15.10 |15.1  |     ~|DA1.1                 |  65|   0
741 |HD 40335                           |*  |05 58 13.5235890585 +01 51 23.008677000|     ~| 7.16 | 6.91 |     ~|     ~|A1II                  |  79|   0
742 |* 59 Ori                           |dS*|05 58 24.4433151697 +01 50 13.592624151|     ~| 6.116| 5.886|     ~|     ~|A8V                   |  73|   0
743 |* 60 Ori                           |*  |05 58 49.5727551957 +00 33 10.777139128|     ~| 5.217| 5.200|     ~|     ~|A0V                   |  61|   0
744 |HD 39421                           |*  |05 52 07.7291332434 -09 02 30.840453230|     ~| 6.045| 5.960|     ~|     ~|A0V                   |  53|   0
745 |* 2 Mon                            |SB*|05 59 04.3130701965 -09 33 29.702250472|     ~| 5.207| 5.029|     ~|     ~|A3III                 |  83|   1
746 |* 40 Aur                           |SB*|06 06 35.0975665420 +38 28 57.533169065|     ~| 5.587| 5.345|     ~|     ~|kA7IVmF2/5IIISr       |  78|   0
747 |HD 40589                           |sg*|06 01 00.4533513447 +27 34 20.505994148| 6.06 | 6.250| 6.040|     ~|     ~|A0Iab                 |  65|   0
748 |* 3 Gem                            |s*b|06 09 43.9850271939 +23 06 48.558943198| 5.33 | 5.96 | 5.75 |     ~|     ~|B3Ia                  | 218|   0
749 |* chi02 Ori                        |s*b|06 03 55.1848402263 +20 08 18.441609669| 4.24 | 4.91 | 4.63 | 4.32 | 4.10 |B2Ia                  | 429|   0
750 |V* DN Ori                          |Al*|06 00 28.3451631026 +10 13 04.996265242|     ~| 9.40 | 9.15 |     ~|     ~|A2e                   |  70|   0
751 |* mu. Ori                          |SB*|06 02 22.99668 +09 38 50.1820          | 4.40 | 4.29 | 4.130| 3.94 | 3.86 |A1Vm+F2V              | 254|   0
752 |SN 2003kf                          |SN*|06 04 35.42 -12 37 42.8                |     ~|     ~|14.8  |     ~|     ~|SNIa                  |  59|   1
753 |* tet Lep                          |*  |06 06 09.3237046666 -14 56 06.912959454|     ~| 4.707| 4.663|     ~|     ~|A0V                   |  80|   0
754 |* 17 Lep                           |Sy*|06 04 59.1294088750 -16 29 03.968723282| 5.29 | 5.17 | 4.93 |     ~|     ~|A3+K/M                | 196|   0
755 |HD 42301                           |*  |06 08 57.8700720899 -22 25 38.608335089|     ~| 5.469| 5.480|     ~|     ~|A0V                   |  56|   0
756 |V* S Lep                           |LP*|06 05 45.5492216726 -24 11 44.028071527| 9.72 | 8.42 | 6.82 | 4.12 | 1.75 |M6+IIIa               |  98|   0
757 |V* QR Aur                          |a2*|06 13 43.1522147799 +41 41 50.104112709|     ~| 7.25 | 7.17 |     ~|     ~|A2p                   |  64|   0
758 |HD 43885                           |** |06 19 58.95543 +28 25 36.1616          |     ~| 7.59 | 7.39 |     ~|     ~|A3                    |  63|   1
759 |* 6 Gem                            |s*r|06 12 19.0988857857 +22 54 30.658017786|11.11 | 8.63 | 6.39 | 4.55 | 3.07 |M1-M2Ia-Iab           | 167|   0
760 |V* WY Gem                          |s*r|06 11 56.2500979400 +23 12 25.419490435|10.24 | 9.20 | 7.38 | 5.57 | 4.04 |M2Iabep+B:            | 125|   0
761 |* 9 Gem                            |s*b|06 16 58.7058947017 +23 44 27.286451876| 6.31 | 6.70 | 6.25 | 5.78 | 5.38 |B3Iab                 | 223|   0
762 |* eta Gem                          |RG*|06 14 52.6452865329 +22 30 24.434377815| 6.55 | 4.89 | 3.28 | 1.79 | 0.48 |M2IIIa                | 241|   0
763 |V* FT Ori                          |Al*|06 13 58.1528047530 +21 25 39.180637786|     ~| 9.32 | 9.29 |     ~|     ~|A0                    |  87|   0
764 |V* TV Gem                          |s*r|06 11 51.4146886962 +21 52 05.662130069|10.58 | 8.81 | 6.56 | 4.65 | 3.17 |M0-M1.5Iab            | 160|   0
765 |HD 42954                           |** |06 14 28.58291 +17 54 22.8573          |     ~|     ~| 8.53 | 7.20 |     ~|A6m                   |  77|   0
766 |LAWD 21                            |WD*|06 15 18.6800762260 +17 43 40.327428079|     ~|13.25 |     ~|13.4  |     ~|DA1.9                 |  83|   0
767 |* l Ori                            |** |06 17 06.6204015651 +09 56 32.615850042|     ~| 5.482| 5.386|     ~|     ~|A2V                   |  89|   0
768 |HD 44333                           |EB*|06 21 25.7704520 +02 16 06.678015      |     ~| 6.539| 6.280|     ~|     ~|A4/5IV                |  79|   0
769 |V* UV Lep                          |a2*|06 11 21.7520136800 -15 47 35.014376763|     ~| 7.01 | 6.75 |     ~|     ~|ApSrCrEu              |  51|   0
770 |* mu. Gem                          |LP*|06 22 57.62686 +22 30 48.8979          | 6.37 | 4.51 | 2.87 | 1.30 |-0.08 |M3IIIab               | 366|   1
771 |V* VY Mon                          |Ae*|06 31 06.9180562526 +10 26 04.982093681|16.65 |15.45 |13.70 |12.49 |11.00 |A5:Vep                |  88|   0
772 |NGC 2245                           |RNe|06 32 41.3 +10 09 34                   |     ~|11    |     ~|     ~|     ~|A0                    |  50|   0
773 |* 13 Mon                           |*iN|06 32 54.2284145046 +07 19 58.668312797| 4.30 | 4.50 | 4.50 | 4.40 | 4.36 |A0I                   | 186|   1
774 |V* T Mon                           |cC*|06 25 12.9997562821 +07 05 08.561189768| 8.24 | 7.20 | 5.98 |     ~| 4.996|G3Iabv+A0p            | 446|   1
775 |* eps Mon A                        |*  |06 23 46.0915722415 +04 35 34.286731410|     ~| 4.583| 4.398|     ~|     ~|A8V(n)                |  89|   0
776 |HD 45320                           |*  |06 26 39.5896073056 -01 30 26.401548399|     ~| 5.927| 5.854|     ~|     ~|A1V                   |  57|   0
777 |V* V682 Mon                        |a2*|06 28 10.7658829483 -04 53 56.509693156|     ~| 7.85 | 7.97 |     ~|     ~|ApSi                  |  73|   0
778 |V* HR CMa                          |Al*|06 32 46.8721481683 -11 09 58.968732064| 8.12 | 7.35 | 6.24 | 5.49 | 5.01 |G9III:Ba3.5           | 167|   0
779 |HD 45184                           |PM*|06 24 43.8797456693 -28 46 48.416253741|     ~| 7.01 | 6.39 | 6.24 | 8.94 |G2Va                  | 164|   1
780 |HD 44896                           |SB*|06 22 53.7674312529 -33 36 52.569649260|10.79 | 8.90 | 7.27 |     ~|     ~|K4.5IIIa:Ba4          |  54|   0
