C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
643 |CD-38 4168                         |*  |08 12 00.7266523083 -39 08 41.793104587| 9.22 | 9.80 | 9.48 | 9.64 |     ~|O8.5III                            |  19|   0
644 |CD-35 4384                         |** |08 15 17.156 -35 44 14.72              | 9.06 |10.02 | 9.63 | 9.56 | 8.99 |O9.2III                            |  28|   0
645 |HD 69464                           |Em*|08 15 48.5654685522 -35 37 52.860331301| 8.47 | 9.11 | 8.80 | 9.42 |     ~|O7Ib(f)                            |  97|   0
646 |CD-35 4412                         |*  |08 16 24.7510124626 -35 44 21.499059007| 9.32 |10.19 | 9.81 | 9.77 |     ~|O9/B0                              |  25|   0
647 |CD-35 4415                         |*  |08 16 32.0971477532 -35 38 52.924020777|10.7  |11.07 |10.46 |10.45 |     ~|O7IIInn                            |  19|   0
648 |CD-35 4471                         |** |08 19 03.8924356468 -36 08 44.438746066| 8.77 | 9.85 | 9.55 | 9.63 |     ~|O9.5IV                             |  35|   0
649 |TK 1                               |PN |08 27 05.5323503075 +31 30 08.315361508|     ~|15.379|15.725|15.890|16.105|DAO.7                              |  60|   0
650 |SDSS J084008.72+325114.5           |WD*|08 40 08.7198496566 +32 51 14.604938716|     ~|18.20 |18.93 |     ~|     ~|DO                                 |  10|   0
651 |PG 0838+133                        |HS*|08 41 43.8594054125 +13 04 29.980598758|     ~|     ~|13.66 |     ~|     ~|sdOC7VIIHe40                       |  15|   1
652 |Ton 358                            |HS*|08 52 54.6285015049 +31 43 36.648355745|     ~|14.29 |14.59 |14.78 |     ~|sdOA                               |  17|   0
653 |Ton 353                            |WD*|08 49 05.8759372076 +24 45 07.928538213|     ~|16.40 |16.71 |     ~|     ~|DAO.7                              |  27|   0
654 |PG 0848+186                        |HS*|08 51 44.4697565928 +18 27 22.544881440|     ~|13.09 |     ~|     ~|     ~|sdOA                               |  10|   0
655 |PN A66 31                          |PN |08 54 13.1638085795 +08 53 52.939398458|     ~|15.201|15.544|15.693|15.831|DAO                                | 121|   0
656 |HE 2141-3741                       |Pe*|21 44 51.1647173336 -37 27 55.017357431|     ~|14.10 |13.47 |     ~|     ~|CEMP-no                            |  53|   0
657 |IC 5148                            |PN |21 59 35.0866715591 -39 23 08.237614320|     ~|     ~|16.5  |     ~|     ~|O?                                 |  61|   1
658 |SB 705                             |HS*|01 43 07.5025809127 -38 33 16.231538100|     ~|12.97 |13.01 |     ~|     ~|sdOHe                              |  17|   0
659 |BPS CS 29498-0043                  |Pe*|21 03 52.1197489072 -29 42 50.344264361|     ~|14.8  |13.72 |13.013|12.406|CEMP-no                            |  88|   0
660 |BPS CS 29504-0006                  |Pe*|01 32 04.9651951363 -36 22 42.889099470|     ~|14.87 |14.49 |     ~|13.844|CEMP-no                            |  14|   0
661 |HE 2156-3130                       |Pe*|21 59 05.7785371282 -31 16 12.134699144|     ~|14.86 |14.07 |13.523|13.011|CEMP-no                            |  19|   0
662 |BPS CS 22888-0031                  |Pe*|23 11 32.4788632961 -35 26 42.874207261|     ~|15.31 |14.90 |     ~|     ~|CEMP-no                            |  33|   0
663 |GD 1662                            |NL*|23 29 00.4711137193 -29 46 45.980626470|     ~|     ~|     ~|     ~|     ~|OBe                                | 143|   0
664 |CD-30 19716                        |HS*|23 52 36.0932797836 -30 10 09.115787067|     ~|11.97 |12.86 |     ~|     ~|sdO6He2                            |  25|   0
665 |Ton S 133                          |HS*|00 01 38.4850507067 -28 27 43.033531913|     ~|16.6  |16.14 |     ~|     ~|sdO7He2                            |  15|   0
666 |SB 744                             |HS*|01 48 44.0395709285 -26 36 12.812918945|     ~|12.28 |12.31 |     ~|     ~|sdO7He1+F/G                        |  37|   0
667 |Ton S 144                          |HS*|00 10 06.9253774557 -26 12 56.425167051|     ~|12.70 |12.88 |     ~|     ~|sdO6He4                            |  25|   0
668 |Ton S 140                          |HS*|00 06 46.2797778977 -27 20 53.242413364|     ~|13.68 |13.97 |     ~|     ~|sdO7He1                            |  20|   0
669 |BPS CS 22882-0012                  |Pe*|00 30 22.5118785048 -27 35 27.218010301|     ~|15.64 |15.26 |     ~|     ~|CEMP-no                            |  11|   0
670 |Ton S 163                          |HS*|00 33 53.8943202389 -27 08 23.862825375|     ~|13.96 |14.19 |14.48 |     ~|sdO6He1                            |  33|   0
671 |GD 678                             |PM*|01 06 40.6174528703 -24 58 41.890459578|     ~|14.38 |14.01 |13.668|13.375|CEMP-no                            |  18|   0
672 |HE 0132-2439                       |Pe*|01 34 58.8597298205 -24 24 18.618124263|15.324|15.441|14.82 |14.396|13.954|CEMP-no                            |  18|   0
673 |CD-24 17504                        |Pe*|23 07 20.2536159873 -23 52 35.956455668|     ~|12.51 |12.18 |     ~|     ~|CEMP-no                            |  82|   0
674 |Ton S 137                          |HS*|00 04 31.0015375844 -24 26 21.321318009|     ~|13.66 |13.8  |     ~|     ~|sdO8He4                            |  26|   0
675 |Ton S 154                          |HS*|00 21 58.7338342220 -24 25 20.850273968|     ~|14.10 |14.48 |     ~|     ~|sdO4He2                            |  18|   0
676 |BPS CS 29528-0041                  |Pe*|02 29 25.2507036195 -18 13 28.042501354|14.83 |15.20 |14.59 |14.67 |     ~|CEMP-no                            |  25|   0
677 |NGC 7293                           |PN |22 29 38.5453078023 -20 50 13.746093105|11.894|13.158|13.524|13.689|13.898|DAO.5                              | 901|   0
678 |SB 169                             |HS*|00 25 58.3702836719 -20 57 30.347266717|     ~|13.72 |13.98 |     ~|     ~|sdO8He1                            |  12|   0
679 |HE 0007-1832                       |Pe*|00 09 52.7814403998 -18 16 12.276852284|     ~|     ~|15.46 |     ~|     ~|CEMP-no                            |  19|   0
680 |BPS CS 29527-0015                  |Pe*|00 29 10.6813715074 -19 10 07.306464364|     ~|14.61 |14.24 |     ~|     ~|CEMP-no                            |  53|   0
681 |HE 0239-1340                       |Pe*|02 41 42.3721693746 -13 28 10.604872550|     ~|14.73 |13.97 |13.566|13.080|CEMP-no                            |  54|   0
682 |BPS CS 22166-0016                  |Pe*|00 58 23.8414780886 -14 47 06.881569381|     ~|13.34 |12.75 |12.324|11.898|CEMP-no                            |  19|   0
683 |GD 1053                            |HS*|01 56 31.9005661793 -13 54 26.450104966|     ~|12.2  |     ~|12.63 |12.40 |sdOB                               |  13|   0
684 |BPS CS 31065-0008                  |Pe*|01 05 27.9558658008 -11 57 30.968301441|     ~|14.03 |13.58 |     ~|     ~|CEMP-no                            |  22|   0
685 |BD-11 162                          |HS*|00 52 15.0693172232 -10 39 46.054602260| 9.987|11.102|11.184|11.133|11.039|sdO+G                              |  38|   0
686 |BPS CS 22949-0048                  |Pe*|23 26 07.4168124914 -05 50 06.904987686|     ~|14.48 |13.67 |13.154|12.639|CEMP-no                            |  30|   0
687 |BPS CS 22965-0054                  |Pe*|22 06 30.2933577439 -02 32 34.433172529|     ~|15.69 |15.07 |14.732|14.072|CEMP-no                            |  34|   0
688 |V* FF Aqr                          |Al*|22 00 36.4252746673 -02 44 26.868908849|     ~|10.23 | 9.408|     ~| 8.245|G8III+sdO                          | 106|   0
689 |Feige 110                          |HS*|23 19 58.3995050606 -05 09 56.170282845|10.360|11.45 |11.50 |11.970|12.145|sdO8VIIIHe5                        | 559|   1
690 |BPS CS 22957-0013                  |Pe*|23 55 49.0555790020 -05 22 52.874162041|     ~|14.81 |14.08 |13.601|13.110|CEMP-no                            |  15|   0
691 |HE 2356-0410                       |Pe*|23 59 13.1417869434 -03 53 48.220053208|     ~|14.39 |13.60 |13.164|12.713|CEMP-no                            |  82|   0
692 |V* EO Cet                          |HS*|01 23 43.2472884132 -05 05 45.831031643|     ~|12.21 |12.65 |     ~|     ~|sdOV+F4V                           |  57|   0
693 |PG 2213-006                        |HS*|22 16 28.3762668612 -00 21 13.502700359|12.747|13.93 |14.14 |14.54 |14.348|sdOB                               |  73|   0
694 |BPS CS 29502-0092                  |Pe*|22 22 35.9981441327 -01 38 27.624102360|     ~|12.64 |11.87 |11.365|10.862|CEMP-no                            |  45|   0
695 |HE 2323-0256                       |Pe*|23 26 29.8073543039 -02 39 58.037206596|     ~|15.12 |14.36 |     ~|13.358|CEMP-no                            | 172|   0
696 |PB 5728                            |HS*|00 06 07.8867637184 -01 03 21.190628134|     ~|16.9  |     ~|18.2  |     ~|sdOHe                              |  10|   0
697 |PB 6433                            |WD*|01 26 02.5355486458 -00 48 34.618505496|     ~|17.65 |     ~|     ~|     ~|DAO                                |  11|   0
698 |PG 2110+001                        |HS*|21 13 18.3672617270 +00 17 38.347428166|     ~|16.31 |16.39 |16.30 |     ~|sdOHe                              |  10|   0
699 |PG 2333-002                        |HS*|23 35 41.4717647664 +00 02 19.522538544|     ~|15.99 |16.0  |     ~|     ~|sdOHe                              |  21|   0
700 |PB 5559                            |WD*|23 51 37.2439579992 +01 08 44.209916162|     ~|18    |     ~|     ~|     ~|DAO                                |  10|   0
701 |PG 0048+004                        |HS*|00 51 07.0242731992 +00 42 32.511897536|     ~|15.70 |15.81 |16.16 |     ~|sdOB                               |  14|   0
702 |PG 0055+016                        |HS*|00 58 24.6670794712 +01 54 35.133313015|     ~|14.94 |15.10 |15.44 |     ~|sdBO                               |  10|   0
703 |HS 0111+0012                       |WD*|01 13 46.7763906618 +00 28 28.645434313|     ~|14.59 |14.9  |     ~|     ~|DO                                 |  32|   0
704 |Feige 19                           |HS*|02 10 54.2120236867 +01 47 47.181917142|     ~|13.4  |13.57 |     ~|     ~|sdO9VIIHe39                        |  18|   1
705 |LB 2828                            |WD*|02 54 03.7518805563 +00 58 54.223053309|     ~|17.5  |17.39 |     ~|     ~|DO                                 |  22|   0
706 |PG 2317+046                        |HS*|23 19 55.3508853989 +04 52 34.657092915|11.493|12.630|12.876|12.950|12.994|sdO8VIIHe1                         |  30|   0
707 |PG 0216+032                        |HS*|02 19 18.9089371671 +03 26 51.366664476|     ~|14.36 |14.62 |14.85 |     ~|sdOC                               |  24|   0
708 |Feige 26                           |HS*|02 40 04.3981720342 +03 55 42.256796483|     ~|13.75 |14.10 |     ~|     ~|sdO                                |  15|   0
709 |PG 2120+062                        |HS*|21 22 31.7148788309 +06 21 56.061111205|     ~|14.30 |14.47 |14.60 |     ~|sdO9VHe17                          |  16|   0
710 |PG 0014+068                        |HS*|00 16 54.2524890907 +07 04 30.045980038|     ~|15.3  |     ~|     ~|     ~|sdO                                |  68|   1
711 |PG 0046+078                        |WD*|00 48 37.8850307259 +08 02 44.856934062|     ~|15.59 |15.590|     ~|     ~|DO                                 |  18|   0
712 |PG 0231+051                        |WD*|02 33 41.3573346299 +05 18 43.652047965|14.562|15.776|16.096|16.267|16.639|DAO.6                              | 136|   0
713 |PG 2151+089                        |HS*|21 54 18.6551102793 +09 11 43.159700117|     ~|16.3  |     ~|15.2  |     ~|sdOB                               |  12|   0
714 |HS 2149+0847                       |HS*|21 51 54.3267298757 +09 01 21.017510379|     ~|16.4  |     ~|15.8  |     ~|sdOB                               |  12|   0
715 |PG 2158+082                        |HS*|22 01 02.2828954593 +08 30 47.913417950|     ~|12.8  |13.38 |13.49 |     ~|sdO2VIIIHe40                       |  12|   0
716 |EGGR 900                           |WD*|01 11 06.5712833283 +10 21 38.187085045|     ~|14.86 |     ~|     ~|     ~|DO                                 |  39|   1
717 |PG 0039+135                        |HS*|00 42 16.5729745040 +13 45 40.490757881|     ~|12.05 |     ~|     ~|     ~|sdOC7VIIHe40                       |  21|   1
718 |EGGR 901                           |WD*|01 12 23.0598123991 +11 23 36.100490145|     ~|15.15 |15.40 |15.69 |     ~|DOZ.7                              |  38|   0
719 |HS 2115+1148                       |WD*|21 18 18.7294747125 +12 01 32.073147573|     ~|16.0  |     ~|16.7  |     ~|DAOZ.8                             |  14|   0
720 |PG 2128+113                        |HS*|21 31 12.2364442028 +11 29 36.235098338|     ~|15.81 |16.06 |15.59 |     ~|sdO                                |  10|   1
721 |PN G065.0-27.3                     |PN |21 29 59.38 +12 10 27.5                |     ~|13.39 |14.06 |     ~|     ~|sdO                                | 277|   0
722 |PG 2204+127                        |HS*|22 07 11.1086151743 +12 57 55.795412004|     ~|15.76 |     ~|     ~|     ~|sdOHe                              |  10|   0
723 |SDSS J003343.06+142251.5           |WD*|00 33 43.0561111486 +14 22 51.476614206|     ~|     ~|     ~|     ~|     ~|DBAO                               |  11|   0
724 |PG 0237+116                        |WD*|02 40 06.6412114996 +11 48 28.136992737|     ~|15.12 |     ~|     ~|     ~|DO                                 |  20|   0
725 |PG 2215+151                        |HS*|22 17 48.2205413081 +15 20 57.378570667|     ~|14.34 |14.53 |14.79 |     ~|sdOC9VIIHe40                       |  17|   0
726 |PG 2356+167                        |HS*|23 59 25.3148486417 +16 56 41.747074675|     ~|14.08 |14.18 |14.55 |     ~|sdBO                               |  15|   0
727 |PG 2352+181                        |HS*|23 55 17.3405391891 +18 20 15.387602980|     ~|13.12 |13.41 |13.61 |     ~|sdO7VIIHe40                        |  16|   1
728 |PG 0217+155                        |HS*|02 20 35.6037550587 +15 44 06.921758820|     ~|15.08 |     ~|     ~|     ~|sdOB                               |  12|   0
729 |PG 0038+199                        |WD*|00 41 35.3382948562 +20 09 16.906605595|     ~|13.82 |     ~|     ~|     ~|DO1                                |  36|   0
730 |PG 0122+200                        |WD*|01 25 22.5118179721 +20 17 56.963251283|     ~|16.2  |     ~|16.9  |     ~|DOZ.7                              | 102|   0
731 |PG 0134+181                        |WD*|01 37 23.1108174414 +18 22 40.520951350|     ~|17.7  |     ~|17.4  |     ~|DAO.8                              |  21|   0
732 |V* BI Ari                          |HS*|01 57 27.8862097416 +18 27 39.991284068|     ~|15.27 |     ~|     ~|     ~|sdBO                               |  13|   0
733 |HS 0158+2335                       |WD*|02 01 27.2113104194 +23 49 52.823514302|     ~|16.6  |16.83 |     ~|     ~|DO                                 |  12|   0
734 |PN A66 74                          |PN |21 16 52.3415118702 +24 08 51.096477079|     ~|16.91 |17.11 |     ~|     ~|DAO                                |  65|   1
