C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
143 |V* BU Per                          |LP*|02 18 53.2909785794 +57 25 16.763845850|15.53 |12.87 |10.40 |     ~|     ~|M4Ib                  |  84|   0
144 |V* AD Per                          |s*r|02 20 29.0027235674 +56 59 35.243403712|12.70 |10.16 | 7.849|     ~| 7.111|M3Iab                 | 118|   1
145 |V* RS Per                          |s*r|02 22 24.2951350259 +57 06 34.100118658|12.37 |10.09 | 8.768|     ~|     ~|M3.5IabFe-1           | 126|   0
146 |V* FZ Per                          |s*r|02 20 59.6453535686 +57 09 29.965933600|12.75 |10.20 | 7.962|     ~| 6.719|M1Iab                 | 104|   0
147 |V* PR Per                          |s*r|02 21 42.4096612239 +57 51 46.148946906|12.84 |10.31 | 8.00 | 6.13 | 4.60 |M1-Iab-Ib             | 102|   0
148 |V* V439 Per                        |s*r|02 23 11.0652506389 +57 11 57.982874757|12.81 |10.41 | 8.165|     ~| 6.861|M0.5Iab               |  69|   0
149 |V* V403 Per                        |s*r|02 23 24.1095004917 +57 12 43.040134182|13.32 |10.81 | 8.402| 6.67 | 5.21 |M0Iab                 |  64|   0
150 |V* V441 Per                        |s*r|02 25 21.8599381234 +57 26 14.137762984|13.07 |10.61 | 8.22 | 6.09 | 4.29 |M3Iab                 |  71|   0
151 |V* YZ Per                          |s*r|02 38 25.4198565398 +57 02 46.198062168|14.96 |12.37 |10.01 |     ~|     ~|M1Iab                 |  87|   0
152 |V* W Per                           |s*r|02 50 37.8926244676 +56 59 00.297385667|14.80 |12.24 | 9.62 | 6.99 | 4.75 |M3Iab-M5I             | 101|   0
153 |Ross 364                           |PM*|02 56 34.4247155101 +55 26 14.099190043|     ~|     ~|     ~| 9.6  |     ~|M1.0Ve                |  57|   0
154 |Ross 365                           |PM*|02 56 35.1558957639 +55 26 29.610494191|     ~|13.0  |     ~|10.9  |     ~|M2.5Ve                |  42|   0
155 |BD+49 967                          |*  |03 33 54.3643289566 +50 17 47.949669447|     ~| 9.87 | 9.53 |     ~|     ~|A6me                  |  39|   0
156 |HD 187091                          |EB*|19 46 15.5313838595 +43 56 51.339206744|     ~| 8.53 | 8.39 |     ~|     ~|kA3hA5mA5(IV)sAm:     |  58|   0
157 |G 208-42                           |Er*|19 51 09.3205269987 +46 29 00.208931632|     ~|14.47 |     ~|12.544|     ~|M4.0V                 | 112|   0
158 |V* Z Cyg                           |Mi*|20 01 27.5084697298 +50 02 32.631014105|     ~|11.12 | 7.10 |     ~|     ~|M5.5-6.5e             | 157|   0
159 |V* V414 Cep                        |LP*|20 44 22.0520696159 +56 29 18.244573824|     ~| 7.60 | 5.95 |     ~|     ~|M3III                 |  32|   0
160 |Wolf 1084                          |SB*|20 43 19.2534162835 +55 20 53.541561877|     ~|16.46 |     ~|13.9  |     ~|M5Ve                  |  77|   0
161 |Wolf 1106                          |LM*|21 07 55.3982490752 +59 43 19.333058456|     ~|14.85 |     ~|13.7  |     ~|sdM1.5                |  52|   0
162 |V* V419 Cep                        |LP?|21 12 47.2469081501 +60 05 52.799101380|     ~| 8.95 | 6.62 |     ~|     ~|M2Ib                  |  49|   0
163 |V* V426 Cep                        |LP*|21 27 25.2773628202 +59 45 00.275542417|     ~| 7.822| 6.129|     ~|     ~|M3+IIIa               |  31|   0
164 |HD 203338                          |LP?|21 19 15.6844340919 +58 37 24.634540958| 7.09 | 7.09 | 5.75 | 4.26 | 2.93 |M1Ibep                | 108|   0
